trial number,STL,LL,Heap
290,12966,5985,10971
291,11968,7995,11969
292,11968,9957,9974
293,11968,8975,8975
294,11968,9973,10972
295,11968,9974,8974
296,12965,11972,8976
297,11970,10967,10976
298,11966,10482,53851
299,11971,11973,8976
300,11965,11963,8976
301,11968,10971,8975
302,11968,11968,8976
303,11968,10971,8977
304,11968,10970,9973
305,11968,10970,9973
306,11969,9974,8976
307,11967,10971,8976
308,11968,11969,8976
309,11968,10969,8976
310,11968,10971,8976
311,11972,9973,8976
312,11965,10971,8976
313,12965,8976,8976
314,11968,6981,8977
315,11968,6982,8976
316,13963,9973,8975
317,11968,10970,8976
318,11968,9974,8976
319,9973,9973,8976
320,12966,6981,8976
321,10970,11969,8976
322,11968,5983,8976
323,11969,5984,8977
324,8977,9975,8976
325,10971,9972,8976
326,8974,7979,8976
327,9973,5983,8976
328,12965,7979,8975
329,9973,8977,9983
330,11968,5983,6973
331,7979,5984,8976
332,11968,5984,6981
333,11968,6982,4986
334,11968,5984,4988
335,9974,7979,8975
336,11967,6981,8976
337,11968,9973,9973
338,11969,9973,8976
339,11967,9974,8977
340,11969,9973,8976
341,11968,9974,8976
342,11968,9973,8975
343,11967,9973,8976
344,11969,10971,8976
345,11969,9973,8976
346,7977,9974,8976
347,11968,9977,9003
348,11968,9969,8976
349,11968,9974,9002
350,11968,9975,8977
351,11968,9971,8975
352,11968,9974,8976
353,11968,5984,8976
354,10971,10970,8976
355,10971,9974,8977
356,11968,11968,8975
357,11968,9973,8976
358,11969,10977,8976
359,6980,9968,8976
360,11969,7978,8976
361,6981,8976,8976
362,12965,9973,8976
363,11968,9973,8021
364,6982,10971,10929
365,6981,9974,8975
366,12965,7978,8976
367,6982,10971,8977
368,7978,10971,8976
369,11968,5984,8976
370,11968,9973,8976
371,6981,10970,8976
372,11968,9974,8976
373,11968,6981,8975
374,11968,5986,8977
375,11968,8974,8976
376,11969,6982,8976
377,11967,5984,8976
378,11969,5984,8976
379,11967,8975,8976
380,11968,5985,8976
381,11969,6981,8976
382,11968,6981,8976
383,11969,10971,8976
384,11966,9973,8976
385,11968,9974,8976
386,11968,9973,8976
387,11969,9973,8976
388,11967,9974,8976
389,11968,9973,8976
390,11968,9973,8976
391,6982,7979,8976
392,11968,9974,8976
393,11968,9973,8976
394,11968,9973,8976
395,11969,9973,8976
396,11967,9974,9973
397,11968,9973,8976
398,10971,9974,8976
399,6981,9973,8976
400,11968,9973,8977
401,11968,9973,8975
402,11969,9974,8976
403,9972,9973,8976
404,11968,6981,8976
405,11968,7980,8976
406,11968,9973,8976
407,11969,11967,8976
408,11967,8977,8976
409,6982,10970,8976
410,11968,9974,8976
411,11968,9972,8976
412,6981,9974,8977
413,12965,9973,8975
414,6982,9973,8977
415,11968,9974,8976
416,11968,9974,8975
417,11968,9973,8977
418,11968,9973,8975
419,11967,9973,8977
420,11969,9974,8975
421,11967,9973,8977
422,11969,9973,8975
423,11967,9974,8976
424,11969,9973,8977
425,11968,9973,8976
426,11968,9974,8976
427,11968,9973,8976
428,11968,9974,8976
429,11968,9973,8976
430,11968,9973,8975
431,11968,9974,9981
432,11968,9973,9475
433,11968,7978,9972
434,11968,4987,8976
435,11968,4987,8976
436,11968,9973,8977
437,11968,9974,8975
438,11968,9973,8977
439,11968,9973,8975
440,11968,9973,8976
441,11968,9974,8977
442,11968,9973,8975
443,11968,9974,8977
444,11968,9973,8975
445,11968,9973,8976
446,11968,9973,8976
447,11968,9974,8976
448,11969,9973,8976
449,11967,9974,8977
450,11969,9973,8975
451,11968,9973,8977
452,8976,9973,8975
453,6981,9974,8977
454,10971,9973,8975
455,11967,9974,8976
456,11968,8976,8977
457,11969,9973,8975
458,15958,9974,8977
459,9024,9973,8976
460,11968,9973,8976
461,11968,9974,8977
462,6981,9973,8974
463,12966,9973,8977
464,9973,9974,8975
465,12069,9973,8977
466,11968,9973,8976
467,11968,9973,8976
468,6982,9973,8976
469,6981,9974,8977
470,11968,9974,8975
471,11967,9973,8976
472,11968,9973,8976
473,11968,9974,8976
474,11968,9973,8976
475,11969,9974,8976
476,11967,9973,8976
477,11969,10970,8976
478,11967,9973,8976
479,11968,9974,8976
480,11968,9975,8976
481,11968,10969,8976
482,11968,9973,8976
483,11968,9973,8976
484,11969,9974,8976
485,9973,9973,8976
486,11968,9974,8976
487,11968,9974,8976
488,11968,10969,8976
489,11968,9974,8976
490,11968,9973,8976
491,11968,9973,8976
492,11968,9974,8976
493,11968,9974,8976
494,11968,9973,8976
495,11968,9973,8976
496,6982,9974,8976
497,6981,9973,8976
498,6982,9973,8976
499,11967,10971,8976
500,11968,10971,8976
Averages,11725,9693,9184
